level_0,index,date,time,action,channel,note,velocity,datetime,timestamp
49,2145,29/06/2021,12:54:08.214,2,0,72,37,2021-06-29 12:54:08.214,1624960448.214
50,2146,29/06/2021,12:54:08.235,1,0,67,40,2021-06-29 12:54:08.235,1624960448.235
51,2147,29/06/2021,12:54:08.417,2,0,55,60,2021-06-29 12:54:08.417,1624960448.417
52,2148,29/06/2021,12:54:08.442,1,0,60,31,2021-06-29 12:54:08.442,1624960448.442
53,2149,29/06/2021,12:54:08.552,2,0,48,1,2021-06-29 12:54:08.552,1624960448.552
54,2150,29/06/2021,12:54:08.631,2,0,60,63,2021-06-29 12:54:08.631,1624960448.631
55,2151,29/06/2021,12:54:08.683,1,0,55,29,2021-06-29 12:54:08.683,1624960448.683
56,2152,29/06/2021,12:54:08.895,2,0,55,62,2021-06-29 12:54:08.895,1624960448.895
57,2153,29/06/2021,12:54:08.922,1,0,48,28,2021-06-29 12:54:08.922,1624960448.922
58,2154,29/06/2021,12:54:08.976,2,0,48,127,2021-06-29 12:54:08.976,1624960448.976
59,2155,29/06/2021,12:54:09.255,1,0,36,56,2021-06-29 12:54:09.255,1624960449.255
60,2156,29/06/2021,12:54:09.555,1,0,43,40,2021-06-29 12:54:09.555,1624960449.555
61,2157,29/06/2021,12:54:09.610,2,0,36,43,2021-06-29 12:54:09.610,1624960449.61
62,2158,29/06/2021,12:54:09.776,2,0,43,121,2021-06-29 12:54:09.776,1624960449.776
63,2159,29/06/2021,12:54:09.826,1,0,48,23,2021-06-29 12:54:09.826,1624960449.826
64,2160,29/06/2021,12:54:09.932,2,0,48,126,2021-06-29 12:54:09.932,1624960449.932
65,2161,29/06/2021,12:54:10.112,1,0,55,23,2021-06-29 12:54:10.112,1624960450.112
66,2162,29/06/2021,12:54:10.556,1,0,60,49,2021-06-29 12:54:10.556,1624960450.556
67,2163,29/06/2021,12:54:10.698,2,0,60,48,2021-06-29 12:54:10.698,1624960450.698
68,2164,29/06/2021,12:54:10.795,2,0,55,127,2021-06-29 12:54:10.795,1624960450.795
69,2165,29/06/2021,12:54:11.723,1,0,48,30,2021-06-29 12:54:11.723,1624960451.723
70,2166,29/06/2021,12:54:12.025,2,0,67,83,2021-06-29 12:54:12.025,1624960452.025
71,2167,29/06/2021,12:54:12.068,1,0,55,31,2021-06-29 12:54:12.068,1624960452.068
72,2168,29/06/2021,12:54:12.386,1,0,60,21,2021-06-29 12:54:12.386,1624960452.386
73,2169,29/06/2021,12:54:12.687,1,0,62,23,2021-06-29 12:54:12.687,1624960452.687
74,2170,29/06/2021,12:54:12.878,2,0,62,67,2021-06-29 12:54:12.878,1624960452.878
75,2171,29/06/2021,12:54:12.967,1,0,64,25,2021-06-29 12:54:12.967,1624960452.967
76,2172,29/06/2021,12:54:13.197,2,0,64,68,2021-06-29 12:54:13.197,1624960453.197
77,2173,29/06/2021,12:54:13.235,1,0,67,23,2021-06-29 12:54:13.235,1624960453.235
78,2174,29/06/2021,12:54:13.481,2,0,67,94,2021-06-29 12:54:13.481,1624960453.481
79,2175,29/06/2021,12:54:13.510,1,0,72,27,2021-06-29 12:54:13.510,1624960453.51
80,2176,29/06/2021,12:54:13.702,2,0,72,43,2021-06-29 12:54:13.702,1624960453.702
81,2177,29/06/2021,12:54:13.763,1,0,67,28,2021-06-29 12:54:13.763,1624960453.763
82,2178,29/06/2021,12:54:13.869,2,0,60,15,2021-06-29 12:54:13.869,1624960453.869
83,2179,29/06/2021,12:54:13.997,1,0,64,29,2021-06-29 12:54:13.997,1624960453.997
84,2180,29/06/2021,12:54:14.248,1,0,62,32,2021-06-29 12:54:14.248,1624960454.248
85,2181,29/06/2021,12:54:14.273,2,0,48,2,2021-06-29 12:54:14.273,1624960454.273
86,2182,29/06/2021,12:54:14.493,2,0,55,55,2021-06-29 12:54:14.493,1624960454.493
87,2183,29/06/2021,12:54:14.512,1,0,60,21,2021-06-29 12:54:14.512,1624960454.512
88,2184,29/06/2021,12:54:14.766,2,0,60,32,2021-06-29 12:54:14.766,1624960454.766
89,2185,29/06/2021,12:54:14.798,1,0,55,19,2021-06-29 12:54:14.798,1624960454.798
90,2186,29/06/2021,12:54:15.127,1,0,48,27,2021-06-29 12:54:15.127,1624960455.127
91,2187,29/06/2021,12:54:15.192,2,0,55,39,2021-06-29 12:54:15.192,1624960455.192
92,2188,29/06/2021,12:54:15.458,1,0,55,23,2021-06-29 12:54:15.458,1624960455.458
93,2189,29/06/2021,12:54:15.552,2,0,64,16,2021-06-29 12:54:15.552,1624960455.552
94,2190,29/06/2021,12:54:15.596,2,0,62,48,2021-06-29 12:54:15.596,1624960455.596
95,2191,29/06/2021,12:54:15.616,2,0,67,1,2021-06-29 12:54:15.616,1624960455.616
96,2192,29/06/2021,12:54:15.764,1,0,60,24,2021-06-29 12:54:15.764,1624960455.764
97,2193,29/06/2021,12:54:16.015,1,0,62,36,2021-06-29 12:54:16.015,1624960456.015
98,2194,29/06/2021,12:54:16.219,2,0,62,84,2021-06-29 12:54:16.219,1624960456.219
99,2195,29/06/2021,12:54:16.262,1,0,64,33,2021-06-29 12:54:16.262,1624960456.262
100,2196,29/06/2021,12:54:16.498,2,0,64,71,2021-06-29 12:54:16.498,1624960456.498
101,2197,29/06/2021,12:54:16.522,1,0,67,24,2021-06-29 12:54:16.522,1624960456.522
102,2198,29/06/2021,12:54:16.782,2,0,67,61,2021-06-29 12:54:16.782,1624960456.782
103,2199,29/06/2021,12:54:16.802,1,0,72,26,2021-06-29 12:54:16.802,1624960456.802
104,2200,29/06/2021,12:54:16.960,2,0,72,39,2021-06-29 12:54:16.960,1624960456.96
105,2201,29/06/2021,12:54:17.029,1,0,67,25,2021-06-29 12:54:17.029,1624960457.029
106,2202,29/06/2021,12:54:17.133,2,0,60,35,2021-06-29 12:54:17.133,1624960457.133
107,2203,29/06/2021,12:54:17.289,1,0,64,26,2021-06-29 12:54:17.289,1624960457.289
108,2204,29/06/2021,12:54:17.527,1,0,62,19,2021-06-29 12:54:17.527,1624960457.527
109,2205,29/06/2021,12:54:17.810,2,0,55,49,2021-06-29 12:54:17.810,1624960457.81
110,2206,29/06/2021,12:54:17.843,1,0,60,16,2021-06-29 12:54:17.843,1624960457.843
111,2207,29/06/2021,12:54:18.053,2,0,48,1,2021-06-29 12:54:18.053,1624960458.053
112,2208,29/06/2021,12:54:18.176,1,0,55,16,2021-06-29 12:54:18.176,1624960458.176
113,2209,29/06/2021,12:54:18.195,2,0,60,29,2021-06-29 12:54:18.195,1624960458.195
114,2210,29/06/2021,12:54:18.577,1,0,48,18,2021-06-29 12:54:18.577,1624960458.577
115,2211,29/06/2021,12:54:18.631,2,0,55,44,2021-06-29 12:54:18.631,1624960458.631
116,2212,29/06/2021,12:54:18.819,2,0,62,21,2021-06-29 12:54:18.819,1624960458.819
117,2213,29/06/2021,12:54:18.915,2,0,64,43,2021-06-29 12:54:18.915,1624960458.915
118,2214,29/06/2021,12:54:18.975,2,0,67,1,2021-06-29 12:54:18.975,1624960458.975
119,2215,29/06/2021,12:54:19.016,1,0,55,23,2021-06-29 12:54:19.016,1624960459.016
120,2216,29/06/2021,12:54:19.175,1,0,60,20,2021-06-29 12:54:19.175,1624960459.175
121,2217,29/06/2021,12:54:19.412,1,0,62,14,2021-06-29 12:54:19.412,1624960459.412
122,2218,29/06/2021,12:54:19.666,1,0,63,24,2021-06-29 12:54:19.666,1624960459.666
123,2219,29/06/2021,12:54:19.713,2,0,62,23,2021-06-29 12:54:19.713,1624960459.713
124,2220,29/06/2021,12:54:19.895,2,0,63,56,2021-06-29 12:54:19.895,1624960459.895
125,2221,29/06/2021,12:54:19.916,1,0,67,22,2021-06-29 12:54:19.916,1624960459.916
126,2222,29/06/2021,12:54:20.150,2,0,67,62,2021-06-29 12:54:20.150,1624960460.15
127,2223,29/06/2021,12:54:20.171,1,0,70,21,2021-06-29 12:54:20.171,1624960460.171
128,2224,29/06/2021,12:54:20.448,1,0,67,19,2021-06-29 12:54:20.448,1624960460.448
129,2225,29/06/2021,12:54:20.627,2,0,70,1,2021-06-29 12:54:20.627,1624960460.627
130,2226,29/06/2021,12:54:20.662,2,0,60,35,2021-06-29 12:54:20.662,1624960460.662
131,2227,29/06/2021,12:54:20.696,1,0,63,16,2021-06-29 12:54:20.696,1624960460.696
132,2228,29/06/2021,12:54:21.171,2,0,55,49,2021-06-29 12:54:21.171,1624960461.171
133,2229,29/06/2021,12:54:21.219,1,0,60,13,2021-06-29 12:54:21.219,1624960461.219
134,2230,29/06/2021,12:54:21.383,2,0,48,46,2021-06-29 12:54:21.383,1624960461.383
135,2231,29/06/2021,12:54:21.451,2,0,60,25,2021-06-29 12:54:21.451,1624960461.451
136,2232,29/06/2021,12:54:21.474,1,0,55,22,2021-06-29 12:54:21.474,1624960461.474
137,2233,29/06/2021,12:54:21.736,2,0,55,56,2021-06-29 12:54:21.736,1624960461.736
138,2234,29/06/2021,12:54:21.757,1,0,48,23,2021-06-29 12:54:21.757,1624960461.757
139,2235,29/06/2021,12:54:22.010,1,0,55,31,2021-06-29 12:54:22.010,1624960462.01
140,2236,29/06/2021,12:54:22.225,1,0,60,35,2021-06-29 12:54:22.225,1624960462.225
141,2237,29/06/2021,12:54:22.260,2,0,63,1,2021-06-29 12:54:22.260,1624960462.26
142,2238,29/06/2021,12:54:22.449,2,0,67,36,2021-06-29 12:54:22.449,1624960462.449
143,2239,29/06/2021,12:54:22.470,1,0,62,30,2021-06-29 12:54:22.470,1624960462.47
144,2240,29/06/2021,12:54:22.699,1,0,63,27,2021-06-29 12:54:22.699,1624960462.699
145,2241,29/06/2021,12:54:22.731,2,0,62,42,2021-06-29 12:54:22.731,1624960462.731
146,2242,29/06/2021,12:54:22.980,2,0,63,42,2021-06-29 12:54:22.980,1624960462.98
147,2243,29/06/2021,12:54:22.001,1,0,67,23,2021-06-29 12:54:22.001,1624960462.001
148,2244,29/06/2021,12:54:23.212,1,0,70,31,2021-06-29 12:54:23.212,1624960463.212
149,2245,29/06/2021,12:54:23.235,2,0,67,62,2021-06-29 12:54:23.235,1624960463.235
150,2246,29/06/2021,12:54:23.451,2,0,70,31,2021-06-29 12:54:23.451,1624960463.451
151,2247,29/06/2021,12:54:23.470,1,0,67,30,2021-06-29 12:54:23.470,1624960463.47
152,2248,29/06/2021,12:54:23.726,1,0,63,13,2021-06-29 12:54:23.726,1624960463.726
153,2249,29/06/2021,12:54:23.746,2,0,60,57,2021-06-29 12:54:23.746,1624960463.746
154,2250,29/06/2021,12:54:23.970,1,0,62,18,2021-06-29 12:54:23.970,1624960463.97
155,2251,29/06/2021,12:54:24.216,2,0,55,59,2021-06-29 12:54:24.216,1624960464.216
156,2252,29/06/2021,12:54:24.246,1,0,60,15,2021-06-29 12:54:24.246,1624960464.246
157,2253,29/06/2021,12:54:24.434,2,0,48,1,2021-06-29 12:54:24.434,1624960464.434
158,2254,29/06/2021,12:54:24.509,2,0,60,29,2021-06-29 12:54:24.509,1624960464.509
159,2255,29/06/2021,12:54:24.529,1,0,55,21,2021-06-29 12:54:24.529,1624960464.529
160,2256,29/06/2021,12:54:24.823,1,0,48,24,2021-06-29 12:54:24.823,1624960464.823
161,2257,29/06/2021,12:54:24.843,2,0,55,31,2021-06-29 12:54:24.843,1624960464.843
162,2258,29/06/2021,12:54:25.055,2,0,63,1,2021-06-29 12:54:25.055,1624960465.055
163,2259,29/06/2021,12:54:25.085,2,0,62,51,2021-06-29 12:54:25.085,1624960465.085
164,2260,29/06/2021,12:54:25.118,1,0,55,28,2021-06-29 12:54:25.118,1624960465.118
165,2261,29/06/2021,12:54:25.335,1,0,60,23,2021-06-29 12:54:25.335,1624960465.335
166,2262,29/06/2021,12:54:25.545,1,0,62,17,2021-06-29 12:54:25.545,1624960465.545
167,2263,29/06/2021,12:54:25.598,2,0,67,7,2021-06-29 12:54:25.598,1624960465.598
168,2264,29/06/2021,12:54:25.760,2,0,62,44,2021-06-29 12:54:25.760,1624960465.76
169,2265,29/06/2021,12:54:25.799,1,0,64,31,2021-06-29 12:54:25.799,1624960465.799
170,2266,29/06/2021,12:54:26.021,2,0,64,75,2021-06-29 12:54:26.021,1624960466.021
171,2267,29/06/2021,12:54:26.041,1,0,67,32,2021-06-29 12:54:26.041,1624960466.041
172,2268,29/06/2021,12:54:26.265,1,0,72,49,2021-06-29 12:54:26.265,1624960466.265
173,2269,29/06/2021,12:54:26.285,2,0,67,73,2021-06-29 12:54:26.285,1624960466.285
174,2270,29/06/2021,12:54:26.422,2,0,72,61,2021-06-29 12:54:26.422,1624960466.422
175,2271,29/06/2021,12:54:26.485,1,0,67,26,2021-06-29 12:54:26.485,1624960466.485
176,2272,29/06/2021,12:54:26.575,2,0,60,24,2021-06-29 12:54:26.575,1624960466.575
177,2273,29/06/2021,12:54:26.757,1,0,64,23,2021-06-29 12:54:26.757,1624960466.757
178,2274,29/06/2021,12:54:26.000,1,0,62,32,2021-06-29 12:54:26.000,1624960466.0
179,2275,29/06/2021,12:54:27.222,2,0,55,50,2021-06-29 12:54:27.222,1624960467.222
180,2276,29/06/2021,12:54:27.242,1,0,60,17,2021-06-29 12:54:27.242,1624960467.242
181,2277,29/06/2021,12:54:27.372,2,0,48,36,2021-06-29 12:54:27.372,1624960467.372
